# lon,lat,eastings (GDA94 MGA55),northings (GDA94 MGA55),mean (mm/yr),std (mm/yr)
150.38,-31.42,821338.0853,6518905.3774,19.83,0.00
150.14,-31.30,798890.2409,6532892.1990,4.56,2.09
150.27,-31.38,811007.0986,6523658.8771,2.21,0.80
148.61,-32.25,651667.6891,6430715.8743,4.60,0.67
150.19,-31.16,804100.5891,6548282.6794,0.90,0.51
150.34,-33.72,809517.8497,6263877.5875,56.50,12.05
150.44,-32.38,823662.6726,6412235.7146,8.59,0.16
148.62,-32.28,652559.6175,6427375.7106,5.60,1.11
151.32,-33.33,902199.4297,6303787.4671,57.12,17.51
148.61,-32.26,651651.0586,6429607.2153,5.32,0.78
151.42,-33.03,912925.5302,6336695.1655,35.99,5.73
151.24,-33.25,895107.1324,6312972.9139,171.49,20.80
150.67,-32.13,846264.6867,6439251.6831,2.15,0.43
151.39,-33.42,908299.6959,6293524.8952,116.47,14.96
151.33,-33.41,902761.3395,6294869.3436,31.17,6.70
151.16,-33.00,888749.7683,6341018.5000,10.61,2.11
148.62,-32.28,652559.6175,6427375.7106,5.60,1.11
149.98,-30.31,786580.4495,6643100.0032,2.59,0.97
148.61,-32.27,651634.4235,6428498.5546,5.90,1.02
148.61,-32.27,651634.4235,6428498.5546,5.90,1.02
150.68,-31.57,849317.3618,6501346.8743,13.08,0.43
151.15,-32.93,888121.3168,6348824.0236,9.69,1.85
148.63,-32.28,653501.4532,6427361.4410,7.31,1.46
148.61,-32.25,651667.6891,6430715.8743,4.60,0.67
151.41,-33.47,909925.3819,6287896.1108,23.74,3.67
150.63,-32.26,842000.9589,6424957.2457,1.03,0.31
150.97,-32.69,872277.3208,6376106.1859,3.53,1.36
151.47,-33.11,917221.6814,6327617.1762,283.28,4.06
150.12,-31.04,797799.1234,6561781.5780,1.28,0.43
150.32,-32.26,812779.4462,6425904.4042,2.73,0.64
150.45,-32.26,825033.1251,6425517.5373,1.73,0.61
150.62,-32.25,841095.7229,6426098.5519,1.13,0.37
150.67,-32.22,845923.6365,6429266.6638,5.74,0.32
150.10,-31.05,795858.2982,6560726.0614,1.53,0.41
150.63,-32.33,841737.7259,6417191.1816,14.29,0.16
150.58,-32.17,837620.5485,6435100.3781,2.39,0.78
148.99,-32.29,687388.4044,6425680.4243,0.94,0.71
150.13,-31.06,798691.4936,6559536.6164,1.23,0.33
148.57,-32.26,647882.9164,6429663.0446,6.28,1.59
151.41,-33.28,910820.1358,6308985.5945,636.93,0.00
150.71,-32.03,850423.0628,6450216.7424,5.19,1.17
150.49,-32.21,828984.0732,6430942.2925,2.05,0.58
151.36,-33.40,905600.5515,6295862.4530,85.44,5.62
151.08,-32.81,882085.6486,6362397.1334,68.89,0.03
